"","tourney_name","tourney_id","name","link","display"
"90","Bronco Bowl V",8263,"Varsity (Playoffs)","https://hsquizbowl.org/db/tournaments/8263/stats/varsity_%28playoffs%29/individuals","Bronco Bowl V <8263> - Varsity (Playoffs)"
"91","Bronco Bowl V",8263,"Varsity (Finals)","https://hsquizbowl.org/db/tournaments/8263/stats/varsity_%28finals%29/individuals","Bronco Bowl V <8263> - Varsity (Finals)"
"92","Bronco Bowl V",8263,"Varsity (Combined)","https://hsquizbowl.org/db/tournaments/8263/stats/varsity_%28combined%29/individuals","Bronco Bowl V <8263> - Varsity (Combined)"
"93","Bronco Bowl V",8263,"Junior Varsity (Prelims)","https://hsquizbowl.org/db/tournaments/8263/stats/junior_varsity_%28prelims%29/individuals","Bronco Bowl V <8263> - Junior Varsity (Prelims)"
"94","Bronco Bowl V",8263,"Junior Varsity (Playoffs)","https://hsquizbowl.org/db/tournaments/8263/stats/junior_varsity_%28playoffs%29/individuals","Bronco Bowl V <8263> - Junior Varsity (Playoffs)"
"95","Bronco Bowl V",8263,"Junior Varsity (Combined)","https://hsquizbowl.org/db/tournaments/8263/stats/junior_varsity_%28combined%29/individuals","Bronco Bowl V <8263> - Junior Varsity (Combined)"
"96","2023 Chicago Open",8262,"Prelims","https://hsquizbowl.org/db/tournaments/8262/stats/prelims/individuals","2023 Chicago Open <8262> - Prelims"
"97","2023 Chicago Open",8262,"Playoffs","https://hsquizbowl.org/db/tournaments/8262/stats/playoffs/individuals","2023 Chicago Open <8262> - Playoffs"
"98","2023 Chicago Open",8262,"Finals","https://hsquizbowl.org/db/tournaments/8262/stats/finals/individuals","2023 Chicago Open <8262> - Finals"
"99","2023 Chicago Open",8262,"Combined","https://hsquizbowl.org/db/tournaments/8262/stats/combined/individuals","2023 Chicago Open <8262> - Combined"
"100","IQBT UG Champs Open Online Mirror (Part 1)",8259,"Prelims","https://hsquizbowl.org/db/tournaments/8259/stats/prelims/individuals","IQBT UG Champs Open Online Mirror (Part 1) <8259> - Prelims"
"101","IQBT UG Champs Open Online Mirror (Part 1)",8259,"Playoffs","https://hsquizbowl.org/db/tournaments/8259/stats/playoffs/individuals","IQBT UG Champs Open Online Mirror (Part 1) <8259> - Playoffs"
"102","IQBT UG Champs Open Online Mirror (Part 1)",8259,"Extra Games","https://hsquizbowl.org/db/tournaments/8259/stats/extra_games/individuals","IQBT UG Champs Open Online Mirror (Part 1) <8259> - Extra Games"
"103","CULEX",8257,"All Games","https://hsquizbowl.org/db/tournaments/8257/stats/all_games/individuals","CULEX <8257> - All Games"
"104","Cullman County Scholar Bowl",8255,"All Games","https://hsquizbowl.org/db/tournaments/8255/stats/all_games/individuals","Cullman County Scholar Bowl <8255> - All Games"
"105","KYOGRE Online Mirror (7/16)",8254,"All Games","https://hsquizbowl.org/db/tournaments/8254/stats/all_games/individuals","KYOGRE Online Mirror (7/16) <8254> - All Games"
"106","2023 Windy City Open",8253,"All Games","https://hsquizbowl.org/db/tournaments/8253/stats/all_games/individuals","2023 Windy City Open <8253> - All Games"
"107","2023 UK ICT Mirror (Open)",8252,"Round Robin","https://hsquizbowl.org/db/tournaments/8252/stats/round_robin/individuals","2023 UK ICT Mirror (Open) <8252> - Round Robin"
"108","2023 Wolfpack Summer Invitational",8251,"Prelims","https://hsquizbowl.org/db/tournaments/8251/stats/prelims/individuals","2023 Wolfpack Summer Invitational <8251> - Prelims"
"109","2023 Wolfpack Summer Invitational",8251,"Playoffs","https://hsquizbowl.org/db/tournaments/8251/stats/playoffs/individuals","2023 Wolfpack Summer Invitational <8251> - Playoffs"
"110","2023 Wolfpack Summer Invitational",8251,"Overall","https://hsquizbowl.org/db/tournaments/8251/stats/overall/individuals","2023 Wolfpack Summer Invitational <8251> - Overall"
"111","QUADRUPLET",8250,"QUADRUPLET MS Division Playoffs","https://hsquizbowl.org/db/tournaments/8250/stats/quadruplet_ms_division_playoffs/individuals","QUADRUPLET <8250> - QUADRUPLET MS Division Playoffs"
"112","QUADRUPLET",8250,"QUADRUPLET MS Division Prelims","https://hsquizbowl.org/db/tournaments/8250/stats/quadruplet_ms_division_prelims/individuals","QUADRUPLET <8250> - QUADRUPLET MS Division Prelims"
"113","QUADRUPLET",8250,"QUADRUPLET MS Division ALL ROUND","https://hsquizbowl.org/db/tournaments/8250/stats/quadruplet_ms_division_all_round/individuals","QUADRUPLET <8250> - QUADRUPLET MS Division ALL ROUND"
"114","QUADRUPLET",8250,"QUADRUPLET HS Division","https://hsquizbowl.org/db/tournaments/8250/stats/quadruplet_hs_division/individuals","QUADRUPLET <8250> - QUADRUPLET HS Division"
"115","VCU Open Side Events 2023",8249,"ARCHIVE","https://hsquizbowl.org/db/tournaments/8249/stats/archive/individuals","VCU Open Side Events 2023 <8249> - ARCHIVE"
"116","VCU Open Side Events 2023",8249,"Baseball","https://hsquizbowl.org/db/tournaments/8249/stats/baseball/individuals","VCU Open Side Events 2023 <8249> - Baseball"
"117","CANONINFLATION @ McMaster",8246,"All Games","https://hsquizbowl.org/db/tournaments/8246/stats/all_games/individuals","CANONINFLATION @ McMaster <8246> - All Games"
"118","2023 Maryland Summer Open",8245,"QBOWLOSM","https://hsquizbowl.org/db/tournaments/8245/stats/qbowlosm/individuals/","2023 Maryland Summer Open <8245> - QBOWLOSM"
"119","2023 Maryland Summer Open",8245,"Planet of the Guerillas","https://hsquizbowl.org/db/tournaments/8245/stats/planet_of_the_guerillas/individuals/","2023 Maryland Summer Open <8245> - Planet of the Guerillas"
"120","2023 Maryland Summer Open",8245,"COOT through Round 5","https://hsquizbowl.org/db/tournaments/8245/stats/coot_through_round_5/individuals","2023 Maryland Summer Open <8245> - COOT through Round 5"
"121","2023 Maryland Summer Open",8245,"COOT All games","https://hsquizbowl.org/db/tournaments/8245/stats/coot_all_games/individuals","2023 Maryland Summer Open <8245> - COOT All games"
"122","2023 NASAT @ Columbia",8244,"Double RR","https://hsquizbowl.org/db/tournaments/8244/stats/double_rr/individuals","2023 NASAT @ Columbia <8244> - Double RR"
"123","2023 NASAT @ Columbia",8244,"Finals","https://hsquizbowl.org/db/tournaments/8244/stats/finals/individuals","2023 NASAT @ Columbia <8244> - Finals"
"124","2023 NASAT @ Columbia",8244,"Combined","https://hsquizbowl.org/db/tournaments/8244/stats/combined/individuals","2023 NASAT @ Columbia <8244> - Combined"
"125","MacVanity VIII",8243,"All Games","https://hsquizbowl.org/db/tournaments/8243/stats/all_games/individuals","MacVanity VIII <8243> - All Games"
"126","MacVanity IX",8242,"All Games","https://hsquizbowl.org/db/tournaments/8242/stats/all_games/individuals","MacVanity IX <8242> - All Games"
"127","2023 Tournament of the Orders",8240,"Prelims I (1-3)","https://hsquizbowl.org/db/tournaments/8240/stats/prelims_i_%281-3%29/individuals","2023 Tournament of the Orders <8240> - Prelims I (1-3)"
"128","2023 Tournament of the Orders",8240,"Prelims I + II (1-6)","https://hsquizbowl.org/db/tournaments/8240/stats/prelims_i_%2B_ii_%281-6%29/individuals","2023 Tournament of the Orders <8240> - Prelims I + II (1-6)"
"129","2023 Tournament of the Orders",8240,"Playoffs (7-8)","https://hsquizbowl.org/db/tournaments/8240/stats/playoffs_%287-8%29/individuals","2023 Tournament of the Orders <8240> - Playoffs (7-8)"
"130","2023 Tournament of the Orders",8240,"Finals (9)","https://hsquizbowl.org/db/tournaments/8240/stats/finals_%289%29/individuals","2023 Tournament of the Orders <8240> - Finals (9)"
"131","2023 Tournament of the Orders",8240,"All Games (1-9)","https://hsquizbowl.org/db/tournaments/8240/stats/all_games_%281-9%29/individuals","2023 Tournament of the Orders <8240> - All Games (1-9)"
"132","Brooklyn Bridge Battle Tournament",8239,"All Games","https://hsquizbowl.org/db/tournaments/8239/stats/all_games/individuals","Brooklyn Bridge Battle Tournament <8239> - All Games"
"133","Brooklyn Bridge Battle Tournament",8239,"Yellowfruit Prelims","https://hsquizbowl.org/db/tournaments/8239/stats/yellowfruit_prelims/individuals","Brooklyn Bridge Battle Tournament <8239> - Yellowfruit Prelims"
"134","Brooklyn Bridge Battle Tournament",8239,"Yellowfruit Playoffs","https://hsquizbowl.org/db/tournaments/8239/stats/yellowfruit_playoffs/individuals","Brooklyn Bridge Battle Tournament <8239> - Yellowfruit Playoffs"
